title,year,summary,source_url
The Tay Bridge disaster poem,1879,William McGonagall commemorated a tragedy in verse so bad it is still celebrated as the worst poetry ever written.,https://en.wikipedia.org/wiki/William_McGonagall
Pope Gregory and the missing days,1582,The calendar reform deleted ten days causing riots by people who believed their lives had been shortened.,https://en.wikipedia.org/wiki/Gregorian_calendar
The Astor Place Riot,1849,A deadly riot in New York was triggered by a dispute over which actor performed Shakespeare better.,https://en.wikipedia.org/wiki/Astor_Place_Riot
The Straw Hat Riot,1922,New Yorkers rioted for days over the social rule that straw hats must not be worn after mid-September.,https://en.wikipedia.org/wiki/Straw_Hat_Riot
The Battle of Karansebes,1788,An Austrian army reportedly attacked itself in confusion after a dispute over alcohol.,https://en.wikipedia.org/wiki/Battle_of_Karansebes
Vlad and the Ottoman envoys,1459,Envoys who refused to remove their hats were reportedly given a permanent solution to the problem.,https://en.wikipedia.org/wiki/Vlad_the_Impaler
The Great Fire of London bakery,1666,A fire that destroyed most of the city began in a bakery on a street called Pudding Lane.,https://en.wikipedia.org/wiki/Great_Fire_of_London
The Whisky Rebellion,1794,A tax on spirits provoked an armed uprising that a president personally rode out to suppress.,https://en.wikipedia.org/wiki/Whiskey_Rebellion
Emperor Norton of the United States,1859,A bankrupt San Francisco businessman declared himself Emperor and the city humoured him for decades.,https://en.wikipedia.org/wiki/Emperor_Norton
The Cardiff Giant,1869,A fake stone giant fooled thousands and its rival fake outdrew the original.,https://en.wikipedia.org/wiki/Cardiff_Giant
Charles Waterton's practical jokes,1820,A naturalist greeted guests by biting their ankles from under the dinner table.,https://en.wikipedia.org/wiki/Charles_Waterton
The Great Exhibition sparrow problem,1851,Sparrows infested the Crystal Palace and the solution proposed to the Queen was sparrowhawks.,https://en.wikipedia.org/wiki/The_Great_Exhibition
Napoleon and the rabbits,1807,A rabbit hunt arranged for Napoleon went wrong when the tame rabbits charged the emperor instead.,https://en.wikipedia.org/wiki/Napoleon
The Ministry of Silly Postal Rules,1840,Before prepaid stamps recipients paid for letters leading to elaborate coded envelope scams.,https://en.wikipedia.org/wiki/Penny_Black
Robert Liston's 300 percent mortality operation,1847,A famously fast surgeon reportedly killed the patient an assistant and a spectator in one procedure.,https://en.wikipedia.org/wiki/Robert_Liston
The Great Boston Fire horse flu,1872,An epidemic among horses paralysed transport and revealed how dependent cities were on animals.,https://en.wikipedia.org/wiki/Great_Boston_fire_of_1872
Mary Toft's rabbit births,1726,A woman convinced prominent English doctors that she was giving birth to rabbits.,https://en.wikipedia.org/wiki/Mary_Toft
The Sausage Duel,1865,Rudolf Virchow reportedly proposed a duel with pork sausages one infected with parasites.,https://en.wikipedia.org/wiki/Rudolf_Virchow
Kellogg and corn flakes,1894,Cereal was invented partly as an anti-stimulant intended to discourage certain private habits.,https://en.wikipedia.org/wiki/John_Harvey_Kellogg
The Dreadnought Hoax,1910,Virginia Woolf and friends in disguise were given a state tour of a Royal Navy battleship.,https://en.wikipedia.org/wiki/Dreadnought_hoax
The Man in the Iron Mask speculation,1703,A masked prisoner generated three centuries of increasingly elaborate theories about his identity.,https://en.wikipedia.org/wiki/Man_in_the_Iron_Mask
Pope Formosus and the trial verdict,897,The corpse on trial was found guilty and had its fingers removed before being thrown in the Tiber.,https://en.wikipedia.org/wiki/Pope_Formosus
The Chevalier d'Eon,1770,A French diplomat and spy lived openly in two genders and London bookmakers took bets on the question.,https://en.wikipedia.org/wiki/Chevalier_d%27%C3%89on
Timothy Dexter's coals to Newcastle,1790,An eccentric merchant shipped absurd goods to absurd places by accident and got rich anyway.,https://en.wikipedia.org/wiki/Timothy_Dexter
The Bone Wars,1877,Two palaeontologists sabotaged each other so viciously they dynamited fossil sites out of spite.,https://en.wikipedia.org/wiki/Bone_Wars
Ignaz Semmelweis and handwashing,1847,A doctor who proved handwashing saved lives was ridiculed by colleagues and died in an asylum.,https://en.wikipedia.org/wiki/Ignaz_Semmelweis
The Tsar's useless railway line,1842,Legend holds a ruler drew a railway route with a ruler including a detour around his own finger.,https://en.wikipedia.org/wiki/Moscow%E2%80%93Saint_Petersburg_Railway
The Bermondsey Horse Meat panic,1889,Victorian food adulteration scandals involved chalk in bread and lead in sweets.,https://en.wikipedia.org/wiki/Food_adulteration
Lady Mary Montagu and inoculation,1721,Smallpox inoculation was promoted in Britain only after being tested on condemned prisoners.,https://en.wikipedia.org/wiki/Lady_Mary_Wortley_Montagu
The Ig Nobel Prize founding,1991,An annual prize honours research that makes people laugh and then think.,https://en.wikipedia.org/wiki/Ig_Nobel_Prize
Pitch drop experiment,1927,An experiment so slow that the man watching it died before ever seeing a drop fall.,https://en.wikipedia.org/wiki/Pitch_drop_experiment
The Bald Knobbers,1885,A vigilante group in the Ozarks wore extremely alarming homemade horned masks.,https://en.wikipedia.org/wiki/Bald_Knobbers
Nicolas Chauvin and chauvinism,1815,A possibly fictional soldier's excessive patriotism gave the world a word still in daily use.,https://en.wikipedia.org/wiki/Nicolas_Chauvin
The Streetlight Riots of Pall Mall,1807,Early gas lighting terrified Londoners who feared the pipes would explode beneath their feet.,https://en.wikipedia.org/wiki/Gas_lighting
Boston's Great Brinks Robbery planning,1950,Robbers spent years rehearsing a heist and were caught days before the statute of limitations expired.,https://en.wikipedia.org/wiki/Great_Brink%27s_Robbery
The Wright Brothers' patent war,1906,The inventors of flight spent their most productive years suing people instead of flying.,https://en.wikipedia.org/wiki/Wright_brothers_patent_war
Charles VI the Glass King,1392,A French king suffered a delusion that he was made of glass and might shatter.,https://en.wikipedia.org/wiki/Charles_VI_of_France
The Great Horse Manure Crisis,1894,Victorian cities predicted they would drown in manure and the problem solved itself entirely.,https://en.wikipedia.org/wiki/Great_horse_manure_crisis_of_1894
The Chinese Emperor's rain arrest,1370,Officials in some periods were formally punished for failures of weather.,https://en.wikipedia.org/wiki/Mandate_of_Heaven
The Erfurt Latrine Disaster,1184,A floor collapsed at a royal assembly dropping nobles into the cesspit below.,https://en.wikipedia.org/wiki/Erfurt_latrine_disaster
Alexander the Great's Gordian solution,333,Faced with an unsolvable knot the answer chosen was simply to cut it with a sword.,https://en.wikipedia.org/wiki/Gordian_Knot
The Roman fish sauce industry,100,Romans built an empire-wide trade in a condiment made from fermented fish intestines.,https://en.wikipedia.org/wiki/Garum
The Speaker's dragging tradition,1660,New Speakers of the Commons are still ceremonially dragged to the chair reflecting a lethal job history.,https://en.wikipedia.org/wiki/Speaker_of_the_House_of_Commons_(United_Kingdom)
Black Rod's slammed door,1642,Parliament ceremonially slams a door in the monarch's messenger's face every single year.,https://en.wikipedia.org/wiki/Black_Rod
The Sausage Rebellion of Zurich,1522,The Reformation in Zurich was sparked partly by people defiantly eating sausages during Lent.,https://en.wikipedia.org/wiki/Affair_of_the_Sausages
Trial by ordeal of the cursed morsel,1000,Accused clergy proved innocence by attempting to swallow dry bread without choking.,https://en.wikipedia.org/wiki/Trial_by_ordeal
The Corpse Roads of England,1400,Medieval law required burial at specific churches creating long formal routes for carrying bodies.,https://en.wikipedia.org/wiki/Corpse_road
Elizabethan sumptuary laws,1574,Laws dictated precisely who could wear which colours and fabrics by social rank.,https://en.wikipedia.org/wiki/Sumptuary_law
The Window Tax,1696,A tax on windows led people to brick up their windows creating permanently dark houses.,https://en.wikipedia.org/wiki/Window_tax
The Hat Tax and its forgeries,1784,Britain taxed hats and criminals promptly began forging hat tax revenue stamps.,https://en.wikipedia.org/wiki/Hat_tax
The Wig Powder Tax,1795,A tax on hair powder effectively killed the fashion for powdered wigs overnight.,https://en.wikipedia.org/wiki/Duty_on_Hair_Powder_Act_1795
The Brick Tax loophole,1784,Taxing bricks by number led builders to simply make enormous bricks.,https://en.wikipedia.org/wiki/Brick_tax
Ship money and the constitutional crisis,1634,A tax for a navy on inland towns helped precipitate a civil war.,https://en.wikipedia.org/wiki/Ship_money
The Lord Mayor's coach and the Thames,1757,Ceremonial London processions were repeatedly disrupted by farcical logistical failures.,https://en.wikipedia.org/wiki/Lord_Mayor%27s_Show
The Peasants' Revolt poll tax,1381,A deeply unpopular head tax triggered a national uprising and the burning of legal records.,https://en.wikipedia.org/wiki/Peasants%27_Revolt
The Rebecca Riots,1839,Welsh protesters dressed as women to destroy tollgates in an organised campaign.,https://en.wikipedia.org/wiki/Rebecca_Riots
The Swing Riots letters,1830,Agricultural protesters signed threatening letters with a fictional captain's name.,https://en.wikipedia.org/wiki/Swing_Riots
The Great Stink,1858,Parliament only funded London's sewers when the smell of the Thames became unbearable inside Westminster.,https://en.wikipedia.org/wiki/Great_Stink
The Tichborne Claimant,1866,A butcher from Wagga Wagga convinced many that he was a missing English aristocrat.,https://en.wikipedia.org/wiki/Tichborne_case
Spring-heeled Jack panic,1837,Victorian London was gripped by reports of a leaping figure that no one could ever catch.,https://en.wikipedia.org/wiki/Spring-heeled_Jack
The Piltdown Man forgery,1912,A fake fossil fooled British science for forty years partly because it flattered national pride.,https://en.wikipedia.org/wiki/Piltdown_Man
The Coal Hole and Judge and Jury Society,1841,Victorian Londoners staged mock trials as public entertainment in taverns.,https://en.wikipedia.org/wiki/Renton_Nicholson
